State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,03-01-2025,1212,2781,2200
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,24-01-2025,1145,2700,2280
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,09-01-2025,800,2651,1980
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,22-01-2025,800,2550,2180
Maharashtra,Nashik,Chandvad,Onion,Red,Local,22-03-2025,711,1416,1230
Maharashtra,Nashik,Chandvad,Onion,Red,Local,08-03-2025,1301,2033,1700
Maharashtra,Nashik,Chandvad,Onion,Red,Local,19-03-2025,625,1616,1460
Maharashtra,Nashik,Chandvad,Onion,Red,Local,10-03-2025,700,1750,1550
Maharashtra,Nashik,Chandvad,Onion,Red,Local,26-03-2025,1370,1600,1540
Maharashtra,Nashik,Chandvad,Onion,Other,Local,03-04-2025,861,1400,1210
Maharashtra,Nashik,Chandvad,Onion,Other,Local,04-04-2025,901,1375,1230
Maharashtra,Nashik,Chandvad,Onion,Other,Local,05-04-2025,875,1391,1280
Maharashtra,Nashik,Chandvad,Onion,Other,Local,07-04-2025,762,1362,1270
Maharashtra,Nashik,Chandvad,Onion,Other,Local,18-04-2025,600,1415,1060
Maharashtra,Nashik,Chandvad,Onion,Other,Local,22-04-2025,535,1451,1070
Maharashtra,Nashik,Chandvad,Onion,Other,Local,23-04-2025,600,1475,1110
Maharashtra,Nashik,Chandvad,Onion,Other,Local,26-04-2025,500,1470,850
Maharashtra,Nashik,Chandvad,Onion,Other,Local,06-05-2025,301,1391,950
Maharashtra,Nashik,Chandvad,Onion,Other,Local,21-05-2025,326,1425,950
Maharashtra,Nashik,Chandvad,Onion,Other,Local,22-05-2025,301,1452,950
Maharashtra,Nashik,Chandvad,Onion,Red,Local,01-02-2025,1100,2500,1780
Maharashtra,Nashik,Chandvad,Onion,Red,Local,05-02-2025,1100,2676,2200
Maharashtra,Nashik,Chandvad,Onion,Red,Local,06-02-2025,1000,2700,2080
Maharashtra,Nashik,Chandvad,Onion,Red,Local,12-02-2025,1500,3051,2620
Maharashtra,Nashik,Chandvad,Onion,Red,Local,14-02-2025,1571,3651,3100
Maharashtra,Nashik,Chandvad,Onion,Red,Local,21-03-2025,800,1503,1230
Maharashtra,Nashik,Chandvad,Onion,Other,Local,05-04-2025,876,1391,1280
Maharashtra,Nashik,Chandvad,Onion,Red,Local,15-02-2025,1700,3551,2900
Maharashtra,Nashik,Chandvad,Onion,Other,Local,15-07-2025,500,1781,1410
Maharashtra,Nashik,Chandvad,Onion,Other,Local,02-06-2025,300,1825,1100
Maharashtra,Nashik,Chandvad,Onion,Other,Local,05-06-2025,370,1970,1410
Maharashtra,Nashik,Chandvad,Onion,Other,Local,05-07-2025,700,1700,1400
Maharashtra,Nashik,Chandvad,Onion,Other,Local,06-06-2025,400,2400,1480
Maharashtra,Nashik,Chandvad,Onion,Other,Local,09-06-2025,412,2350,1480
Maharashtra,Nashik,Chandvad,Onion,Other,Local,10-06-2025,500,2300,1480
Maharashtra,Nashik,Chandvad,Onion,Other,Local,12-07-2025,521,1790,1330
Maharashtra,Nashik,Chandvad,Onion,Other,Local,18-07-2025,550,1700,1360
Maharashtra,Nashik,Chandvad,Onion,Other,Local,22-07-2025,550,1700,1380
Maharashtra,Nashik,Chandvad,Onion,Other,Local,25-07-2025,550,1700,1220
Maharashtra,Nashik,Chandvad,Onion,Other,Local,30-06-2025,524,1880,1430
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,08-01-2025,1000,2675,2180
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,20-01-2025,1000,2691,2250
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,16-01-2025,1000,2275,1880
Maharashtra,Nashik,Chandvad,Onion,Red,Local,13-02-2025,1870,3300,2810
Maharashtra,Nashik,Chandvad,Onion,Red,Local,21-02-2025,1200,2498,2180
Maharashtra,Nashik,Chandvad,Onion,Red,Local,27-03-2025,500,1580,1350
Maharashtra,Nashik,Chandvad,Onion,Other,Local,29-05-2025,500,1740,1300
Maharashtra,Nashik,Chandvad,Onion,Other,Local,08-04-2025,752,1370,1220
Maharashtra,Nashik,Chandvad,Onion,Other,Local,11-04-2025,551,1300,980
Maharashtra,Nashik,Chandvad,Onion,Other,Local,15-04-2025,605,1290,1020
Maharashtra,Nashik,Chandvad,Onion,Other,Local,25-04-2025,500,1540,1060
Maharashtra,Nashik,Chandvad,Onion,Red,Local,04-04-2025,900,1375,1230
Maharashtra,Nashik,Chandvad,Onion,Red,Local,21-03-2025,950,1503,1280
Maharashtra,Nashik,Chandvad,Onion,Red,Local,04-03-2025,1452,2425,2060
Maharashtra,Nashik,Chandvad,Onion,Red,Local,13-03-2025,700,1587,1480
Maharashtra,Nashik,Chandvad,Onion,Red,Local,27-03-2025,1116,1580,1430
Maharashtra,Nashik,Chandvad,Onion,Red,Local,25-03-2025,1370,1551,1480
Maharashtra,Nashik,Chandvad,Onion,Other,Local,03-05-2025,400,1401,970
Maharashtra,Nashik,Chandvad,Onion,Other,Local,15-05-2025,452,1500,1050
Maharashtra,Nashik,Chandvad,Onion,Other,Local,16-05-2025,300,1513,850
Maharashtra,Nashik,Chandvad,Onion,Other,Local,29-05-2025,400,1740,1300
Maharashtra,Nashik,Chandvad,Onion,Other,Local,01-07-2025,525,1750,1450
Maharashtra,Nashik,Chandvad,Onion,Other,Local,03-06-2025,412,1801,1280
Maharashtra,Nashik,Chandvad,Onion,Other,Local,08-07-2025,541,1801,1480
Maharashtra,Nashik,Chandvad,Onion,Other,Local,13-06-2025,552,2214,1530
Maharashtra,Nashik,Chandvad,Onion,Other,Local,14-06-2025,440,2085,1480
Maharashtra,Nashik,Chandvad,Onion,Other,Local,16-07-2025,501,1650,1350
Maharashtra,Nashik,Chandvad,Onion,Other,Local,21-07-2025,550,1750,1430
Maharashtra,Nashik,Chandvad,Onion,Other,Local,27-06-2025,580,1953,1480
Maharashtra,Nashik,Chandvad,Onion,Red,Local,31-01-2025,1000,2596,2030
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,17-01-2025,1060,2500,2030
Maharashtra,Nashik,Chandvad,Onion,Red,Local,27-01-2025,1016,2636,1980
Maharashtra,Nashik,Chandvad,Onion,Red,Local,31-01-2025,1100,2596,2030
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,11-01-2025,300,2370,1670
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,14-01-2025,852,2391,1980
Maharashtra,Nashik,Chandvad,Onion,Other,Local,09-04-2025,685,1412,1170
Maharashtra,Nashik,Chandvad,Onion,Other,Local,12-04-2025,711,1175,990
Maharashtra,Nashik,Chandvad,Onion,Other,Local,17-04-2025,600,1415,1060
Maharashtra,Nashik,Chandvad,Onion,Other,Local,24-04-2025,500,1451,1120
Maharashtra,Nashik,Chandvad,Onion,Other,Local,28-04-2025,500,1399,800
Maharashtra,Nashik,Chandvad,Onion,Other,Local,29-04-2025,500,1524,900
Maharashtra,Nashik,Chandvad,Onion,Other,Local,13-05-2025,500,1550,950
Maharashtra,Nashik,Chandvad,Onion,Other,Local,19-05-2025,300,1411,780
Maharashtra,Nashik,Chandvad,Onion,Other,Local,09-07-2025,500,1750,1450
Maharashtra,Nashik,Chandvad,Onion,Red,Local,18-03-2025,652,1570,1440
Maharashtra,Nashik,Chandvad,Onion,Red,Local,07-02-2025,1200,2785,2200
Maharashtra,Nashik,Chandvad,Onion,Red,Local,08-02-2025,1000,2818,2180
Maharashtra,Nashik,Chandvad,Onion,Red,Local,20-02-2025,901,2386,2110
Maharashtra,Nashik,Chandvad,Onion,Red,Local,12-03-2025,500,1571,1350
Maharashtra,Nashik,Chandvad,Onion,Other,Local,04-06-2025,426,2002,1350
Maharashtra,Nashik,Chandvad,Onion,Other,Local,04-07-2025,450,1780,1400
Maharashtra,Nashik,Chandvad,Onion,Other,Local,07-07-2025,712,1751,1450
Maharashtra,Nashik,Chandvad,Onion,Other,Local,12-06-2025,430,2037,1500
Maharashtra,Nashik,Chandvad,Onion,Other,Local,17-06-2025,503,1951,1420
Maharashtra,Nashik,Chandvad,Onion,Other,Local,17-07-2025,522,1875,1430
Maharashtra,Nashik,Chandvad,Onion,Other,Local,18-06-2025,501,1831,1330
Maharashtra,Nashik,Chandvad,Onion,Other,Local,19-06-2025,503,1801,1420
Maharashtra,Nashik,Chandvad,Onion,Other,Local,21-06-2025,511,1850,1580
Maharashtra,Nashik,Chandvad,Onion,Other,Local,23-07-2025,550,1775,1320
Maharashtra,Nashik,Chandvad,Onion,Other,Local,26-06-2025,525,2121,1530
Maharashtra,Nashik,Chandvad,Onion,Red,Local,28-03-2025,625,1525,1350
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,01-01-2025,1200,2712,2200
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,13-01-2025,600,2401,1750
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,23-01-2025,1002,2600,2250
Maharashtra,Nashik,Chandvad,Onion,Red,Local,28-01-2025,1030,2671,2000
Maharashtra,Nashik,Chandvad,Onion,Red,Local,30-01-2025,1000,2552,2000
Maharashtra,Nashik,Chandvad,Onion,Red,Local,03-02-2025,991,2572,1850
Maharashtra,Nashik,Chandvad,Onion,Red,Local,05-03-2025,1311,2301,2160
Maharashtra,Nashik,Chandvad,Onion,Red,Local,07-03-2025,1301,2202,1950
Maharashtra,Nashik,Chandvad,Onion,Red,Local,18-03-2025,652,1570,1470
Maharashtra,Nashik,Chandvad,Onion,Red,Local,20-03-2025,700,1500,1310
Maharashtra,Nashik,Chandvad,Onion,Red,Local,24-03-2025,1000,1550,1380
Maharashtra,Nashik,Chandvad,Onion,Red,Local,28-03-2025,1226,1525,1390
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,02-01-2025,1090,2651,2070
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,10-01-2025,700,2535,1780
Maharashtra,Nashik,Chandvad,Onion,Other,Local,21-04-2025,600,1355,1020
Maharashtra,Nashik,Chandvad,Onion,Other,Local,02-05-2025,462,1480,950
Maharashtra,Nashik,Chandvad,Onion,Other,Local,05-05-2025,500,1435,970
Maharashtra,Nashik,Chandvad,Onion,Other,Local,08-05-2025,300,1430,950
Maharashtra,Nashik,Chandvad,Onion,Other,Local,09-05-2025,500,1450,970
Maharashtra,Nashik,Chandvad,Onion,Other,Local,23-05-2025,300,1471,980
Maharashtra,Nashik,Chandvad,Onion,Other,Local,26-05-2025,300,1561,1100
Maharashtra,Nashik,Chandvad,Onion,Other,Local,30-05-2025,300,1611,1150
Maharashtra,Nashik,Chandvad,Onion,Other,Local,02-07-2025,500,1825,1450
Maharashtra,Nashik,Chandvad,Onion,Other,Local,03-07-2025,607,1799,1450
Maharashtra,Nashik,Chandvad,Onion,Other,Local,11-06-2025,526,2101,1460
Maharashtra,Nashik,Chandvad,Onion,Other,Local,14-07-2025,500,1751,1350
Maharashtra,Nashik,Chandvad,Onion,Other,Local,15-07-2025,520,1781,1410
Maharashtra,Nashik,Chandvad,Onion,Other,Local,16-06-2025,501,1953,1370
Maharashtra,Nashik,Chandvad,Onion,Other,Local,19-07-2025,527,2000,1350
Maharashtra,Nashik,Chandvad,Onion,Other,Local,28-06-2025,503,1833,1440
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,11-01-2025,500,2202,1670
Maharashtra,Nashik,Chandvad,Onion,Red,Local,27-01-2025,1016,2686,1980
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,04-01-2025,1201,2764,2280
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,06-01-2025,1201,2726,2280
Maharashtra,Nashik,Chandvad,Onion,Red,Local,22-03-2025,725,1416,1160
Maharashtra,Nashik,Chandvad,Onion,Red,Local,25-03-2025,701,1551,1400
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,07-01-2025,1000,2726,2200
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,18-01-2025,1200,2659,2080
Maharashtra,Nashik,Chandvad,Onion,Red,Local,04-02-2025,1135,2630,2080
Maharashtra,Nashik,Chandvad,Onion,Red,Local,17-02-2025,1500,3153,2450
Maharashtra,Nashik,Chandvad,Onion,Red,Local,18-02-2025,1125,3132,2450
Maharashtra,Nashik,Chandvad,Onion,Red,Local,22-02-2025,1300,2750,2230
Maharashtra,Nashik,Chandvad,Onion,Red,Local,24-02-2025,1680,2831,2350
Maharashtra,Nashik,Chandvad,Onion,Red,Local,06-03-2025,1130,2260,2090
Maharashtra,Nashik,Chandvad,Onion,Red,Local,11-03-2025,800,1692,1400
Maharashtra,Nashik,Chandvad,Onion,Red,Local,15-03-2025,1061,1654,1540
Maharashtra,Nashik,Chandvad,Onion,Red,Local,17-03-2025,562,1624,1380
Maharashtra,Nashik,Chandvad,Onion,Other,Local,07-05-2025,392,1426,980
Maharashtra,Nashik,Chandvad,Onion,Other,Local,17-05-2025,315,1471,800
Maharashtra,Nashik,Chandvad,Onion,Other,Local,20-05-2025,326,1400,800
Maharashtra,Nashik,Chandvad,Onion,Other,Local,24-05-2025,317,1446,980
Maharashtra,Nashik,Chandvad,Onion,Other,Local,28-05-2025,300,1726,1280
Maharashtra,Nashik,Chandvad,Onion,Other,Local,31-05-2025,400,1741,1110
Maharashtra,Nashik,Chandvad,Onion,Other,Local,16-04-2025,730,1400,1070
Maharashtra,Nashik,Chandvad,Onion,Other,Local,19-04-2025,726,1390,1070
Maharashtra,Nashik,Chandvad,Onion,Other,Local,12-07-2025,211,1790,1330
Maharashtra,Nashik,Chandvad,Onion,Other,Local,10-07-2025,590,1790,1450
Maharashtra,Nashik,Chandvad,Onion,Other,Local,20-06-2025,555,1899,1520
Maharashtra,Nashik,Chandvad,Onion,Other,Local,09-07-2025,560,1752,1450
Maharashtra,Nashik,Chandvad,Onion,Other,Local,11-07-2025,525,1786,1360
Maharashtra,Nashik,Chandvad,Onion,Other,Local,23-06-2025,511,2150,1490
Maharashtra,Nashik,Chandvad,Onion,Other,Local,24-06-2025,540,2200,1550
Maharashtra,Nashik,Devala,Onion,Red,FAQ,08-01-2025,800,2545,2250
Maharashtra,Nashik,Devala,Onion,Red,FAQ,16-01-2025,700,2300,1950
Maharashtra,Nashik,Devala,Onion,Red,FAQ,24-01-2025,900,2565,2250
Maharashtra,Nashik,Devala,Onion,Red,Local,27-01-2025,900,2460,2250
Maharashtra,Nashik,Devala,Onion,Red,FAQ,03-01-2025,700,2535,2250
Maharashtra,Nashik,Devala,Onion,Red,FAQ,09-01-2025,650,2505,2250
Maharashtra,Nashik,Devala,Onion,Red,FAQ,10-01-2025,600,2460,2100
Maharashtra,Nashik,Devala,Onion,Red,FAQ,21-01-2025,750,2550,2250
Maharashtra,Nashik,Devala,Onion,Red,Local,31-01-2025,800,2300,2100
Maharashtra,Nashik,Devala,Onion,Red,FAQ,24-01-2025,900,2560,2250
Maharashtra,Nashik,Devala,Onion,Red,Local,10-03-2025,500,1645,1500
Maharashtra,Nashik,Devala,Onion,Red,Local,20-03-2025,600,1400,1300
Maharashtra,Nashik,Devala,Onion,Other,Local,04-03-2025,700,2280,2100
Maharashtra,Nashik,Devala,Onion,Other,Local,06-03-2025,700,2385,2200
Maharashtra,Nashik,Devala,Onion,Other,Local,10-03-2025,400,1620,1475
Maharashtra,Nashik,Devala,Onion,Other,Local,15-04-2025,400,1200,1125
Maharashtra,Nashik,Devala,Onion,Other,Local,17-04-2025,300,1240,1150
Maharashtra,Nashik,Devala,Onion,Other,Local,22-04-2025,250,1300,1180
Maharashtra,Nashik,Devala,Onion,Other,Local,05-06-2025,150,1625,1400
Maharashtra,Nashik,Devala,Onion,Other,Local,06-05-2025,150,1350,1180
Maharashtra,Nashik,Devala,Onion,Other,Local,07-05-2025,100,1325,1175
Maharashtra,Nashik,Devala,Onion,Other,Local,13-05-2025,100,1300,1150
Maharashtra,Nashik,Devala,Onion,Other,Local,16-05-2025,100,1270,1125
Maharashtra,Nashik,Devala,Onion,Other,Local,19-05-2025,100,1230,1080
Maharashtra,Nashik,Devala,Onion,Other,Local,21-05-2025,100,1225,1050
Maharashtra,Nashik,Devala,Onion,Red,Local,04-02-2025,900,2390,2150
Maharashtra,Nashik,Devala,Onion,Red,Local,05-02-2025,950,2500,2175
Maharashtra,Nashik,Devala,Onion,Red,Local,07-02-2025,900,2630,2300
Maharashtra,Nashik,Devala,Onion,Red,Local,17-02-2025,1000,2960,2750
Maharashtra,Nashik,Devala,Onion,Other,Local,19-03-2025,650,1600,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,15-04-2025,400,1200,1100
Maharashtra,Nashik,Devala,Onion,Red,Local,12-02-2025,1100,2860,2650
Maharashtra,Nashik,Devala,Onion,Other,Local,03-07-2025,300,1645,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,04-06-2025,100,1700,1425
Maharashtra,Nashik,Devala,Onion,Other,Local,05-06-2025,150,1625,1425
Maharashtra,Nashik,Devala,Onion,Other,Local,07-07-2025,200,1605,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,17-07-2025,300,1700,1300
Maharashtra,Nashik,Devala,Onion,Red,Local,18-02-2025,650,2805,2500
Maharashtra,Nashik,Devala,Onion,Red,Local,20-02-2025,900,2465,2200
Maharashtra,Nashik,Devala,Onion,Red,Local,27-02-2025,750,2585,2400
Maharashtra,Nashik,Devala,Onion,Red,Local,28-02-2025,800,2450,2250
Maharashtra,Nashik,Devala,Onion,Red,FAQ,23-01-2025,900,2500,2250
Maharashtra,Nashik,Devala,Onion,Red,Local,29-01-2025,900,2440,2200
Maharashtra,Nashik,Devala,Onion,Red,FAQ,06-01-2025,900,2905,2500
Maharashtra,Nashik,Devala,Onion,Other,Local,07-04-2025,340,1450,1280
Maharashtra,Nashik,Devala,Onion,Other,Local,16-04-2025,400,1285,1180
Maharashtra,Nashik,Devala,Onion,Other,Local,21-04-2025,300,1275,1180
Maharashtra,Nashik,Devala,Onion,Other,Local,28-04-2025,150,1405,1200
Maharashtra,Nashik,Devala,Onion,Other,Local,29-04-2025,100,1355,1200
Maharashtra,Nashik,Devala,Onion,Other,Local,22-04-2025,250,1250,1150
Maharashtra,Nashik,Devala,Onion,Other,Local,23-04-2025,200,1350,1200
Maharashtra,Nashik,Devala,Onion,Other,Local,20-03-2025,650,1580,1375
Maharashtra,Nashik,Devala,Onion,Other,Local,26-03-2025,750,1680,1500
Maharashtra,Nashik,Devala,Onion,Red,Local,03-03-2025,800,2385,2150
Maharashtra,Nashik,Devala,Onion,Red,Local,17-03-2025,600,1530,1400
Maharashtra,Nashik,Devala,Onion,Red,Local,26-03-2025,700,1510,1350
Maharashtra,Nashik,Devala,Onion,Other,Local,25-03-2025,600,1630,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,15-05-2025,100,1300,1150
Maharashtra,Nashik,Devala,Onion,Other,Local,20-05-2025,100,1195,1050
Maharashtra,Nashik,Devala,Onion,Other,Local,22-05-2025,100,1305,1150
Maharashtra,Nashik,Devala,Onion,Other,Local,16-07-2025,250,1650,1380
Maharashtra,Nashik,Devala,Onion,Other,Local,01-07-2025,300,1700,1550
Maharashtra,Nashik,Devala,Onion,Other,Local,02-06-2025,100,1680,1400
Maharashtra,Nashik,Devala,Onion,Other,Local,10-06-2025,200,1755,1550
Maharashtra,Nashik,Devala,Onion,Other,Local,10-07-2025,300,1550,1375
Maharashtra,Nashik,Devala,Onion,Other,Local,15-07-2025,300,1600,1350
Maharashtra,Nashik,Devala,Onion,Other,Local,21-07-2025,200,1480,1300
Maharashtra,Nashik,Devala,Onion,Other,Local,22-07-2025,450,1535,1350
Maharashtra,Nashik,Devala,Onion,Other,Local,24-06-2025,400,1800,1650
Maharashtra,Nashik,Devala,Onion,Other,Local,27-06-2025,300,1720,1450
Maharashtra,Nashik,Devala,Onion,Red,Local,05-02-2025,950,2485,2175
Maharashtra,Nashik,Devala,Onion,Red,FAQ,22-01-2025,800,2555,2150
Maharashtra,Nashik,Devala,Onion,Red,Local,30-01-2025,900,2370,2150
Maharashtra,Nashik,Devala,Onion,Red,FAQ,20-01-2025,800,2580,2350
Maharashtra,Nashik,Devala,Onion,Red,Local,28-01-2025,900,2455,2200
Maharashtra,Nashik,Devala,Onion,Other,Local,11-06-2025,100,1900,1600
Maharashtra,Nashik,Devala,Onion,Other,Local,25-04-2025,200,1455,1225
Maharashtra,Nashik,Devala,Onion,Other,Local,20-06-2025,300,1650,1525
Maharashtra,Nashik,Devala,Onion,Other,Local,08-05-2025,100,1375,1175
Maharashtra,Nashik,Devala,Onion,Other,Local,30-05-2025,200,1725,1470
Maharashtra,Nashik,Devala,Onion,Other,Local,14-07-2025,300,1575,1425
Maharashtra,Nashik,Devala,Onion,Red,Local,03-02-2025,850,2345,2150
Maharashtra,Nashik,Devala,Onion,Red,Local,13-02-2025,1100,3155,2800
Maharashtra,Nashik,Devala,Onion,Other,Local,03-03-2025,700,2470,2100
Maharashtra,Nashik,Devala,Onion,Other,Local,18-03-2025,650,1610,1450
Maharashtra,Nashik,Devala,Onion,Red,Local,04-03-2025,850,2390,2150
Maharashtra,Nashik,Devala,Onion,Red,Local,11-03-2025,500,1665,1500
Maharashtra,Nashik,Devala,Onion,Other,Local,11-03-2025,400,1575,1400
Maharashtra,Nashik,Devala,Onion,Other,Local,24-03-2025,600,1600,1375
Maharashtra,Nashik,Devala,Onion,Red,Local,24-03-2025,650,1375,1250
Maharashtra,Nashik,Devala,Onion,Other,Local,02-07-2025,300,1700,1575
Maharashtra,Nashik,Devala,Onion,Other,Local,06-06-2025,150,1730,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,09-07-2025,300,1685,1525
Maharashtra,Nashik,Devala,Onion,Other,Local,11-07-2025,350,1670,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,13-06-2025,200,1835,1600
Maharashtra,Nashik,Devala,Onion,Other,Local,17-06-2025,200,1540,1425
Maharashtra,Nashik,Devala,Onion,Other,Local,18-06-2025,200,1700,1475
Maharashtra,Nashik,Devala,Onion,Other,Local,18-07-2025,300,1500,1400
Maharashtra,Nashik,Devala,Onion,Other,Local,23-07-2025,250,1425,1225
Maharashtra,Nashik,Devala,Onion,Other,Local,25-07-2025,300,1445,1225
Maharashtra,Nashik,Devala,Onion,Other,Local,30-06-2025,300,1625,1500
Maharashtra,Nashik,Devala,Onion,Red,Local,13-02-2025,1100,3015,2800
Maharashtra,Nashik,Devala,Onion,Other,Local,17-03-2025,500,1635,1450
Maharashtra,Nashik,Devala,Onion,Red,FAQ,02-01-2025,300,2555,2200
Maharashtra,Nashik,Devala,Onion,Red,Local,06-02-2025,950,2555,2300
Maharashtra,Nashik,Devala,Onion,Red,Local,14-02-2025,1100,3400,3100
Maharashtra,Nashik,Devala,Onion,Other,Local,17-03-2025,500,1640,1450
Maharashtra,Nashik,Devala,Onion,Red,Local,18-03-2025,600,1475,1350
Maharashtra,Nashik,Devala,Onion,Red,Local,21-03-2025,500,1355,1200
Maharashtra,Nashik,Devala,Onion,Red,Local,25-03-2025,650,1500,1400
Maharashtra,Nashik,Devala,Onion,Red,Local,27-03-2025,550,1375,1250
Maharashtra,Nashik,Devala,Onion,Other,Local,23-04-2025,200,1425,1250
Maharashtra,Nashik,Devala,Onion,Other,Local,13-06-2025,200,1790,1600
Maharashtra,Nashik,Devala,Onion,Other,Local,05-05-2025,100,1450,1200
Maharashtra,Nashik,Devala,Onion,Other,Local,09-05-2025,100,1400,1150
Maharashtra,Nashik,Devala,Onion,Other,Local,28-05-2025,200,1625,1400
Maharashtra,Nashik,Devala,Onion,Other,Local,03-07-2025,300,1610,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,17-07-2025,300,1530,1300
Maharashtra,Nashik,Devala,Onion,Other,Local,11-06-2025,100,2100,1650
Maharashtra,Nashik,Devala,Onion,Other,Local,19-06-2025,300,1600,1480
Maharashtra,Nashik,Devala,Onion,Other,Local,20-06-2025,300,1800,1600
Maharashtra,Nashik,Devala,Onion,Other,Local,25-06-2025,400,1700,1550
Maharashtra,Nashik,Devala,Onion,Other,Local,26-06-2025,300,1550,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,28-04-2025,150,1340,1180
Maharashtra,Nashik,Devala,Onion,Other,Local,05-03-2025,600,2210,2050
Maharashtra,Nashik,Devala,Onion,Red,FAQ,17-01-2025,800,2305,2050
Maharashtra,Nashik,Devala,Onion,Red,FAQ,01-01-2025,700,2630,2350
Maharashtra,Nashik,Devala,Onion,Red,FAQ,07-01-2025,795,2870,2350
Maharashtra,Nashik,Devala,Onion,Red,Local,21-02-2025,800,2450,2275
Maharashtra,Nashik,Devala,Onion,Red,Local,24-02-2025,800,2675,2300
Maharashtra,Nashik,Devala,Onion,Red,Local,25-02-2025,950,2575,2350
Maharashtra,Nashik,Devala,Onion,Other,Local,05-03-2025,600,2275,2050
Maharashtra,Nashik,Devala,Onion,Other,Local,07-03-2025,600,2120,1850
Maharashtra,Nashik,Devala,Onion,Other,Local,19-03-2025,650,1650,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,21-03-2025,550,1420,1300
Maharashtra,Nashik,Devala,Onion,Other,Local,27-03-2025,600,1580,1375
Maharashtra,Nashik,Devala,Onion,Red,Local,05-03-2025,700,2385,2150
Maharashtra,Nashik,Devala,Onion,Red,Local,06-03-2025,800,2400,2250
Maharashtra,Nashik,Devala,Onion,Red,Local,07-03-2025,700,2155,1900
Maharashtra,Nashik,Devala,Onion,Red,Local,19-03-2025,600,1475,1350
Maharashtra,Nashik,Devala,Onion,Red,FAQ,03-01-2025,700,2500,2250
Maharashtra,Nashik,Devala,Onion,Other,Local,03-06-2025,100,1675,1400
Maharashtra,Nashik,Devala,Onion,Other,Local,23-06-2025,250,1700,1575
Maharashtra,Nashik,Devala,Onion,Other,Local,23-05-2025,100,1365,1180
Maharashtra,Nashik,Devala,Onion,Other,Local,26-05-2025,100,1405,1225
Maharashtra,Nashik,Devala,Onion,Other,Local,27-05-2025,150,1485,1270
Maharashtra,Nashik,Devala,Onion,Other,Local,29-05-2025,200,1695,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,21-05-2025,100,1155,1050
Maharashtra,Nashik,Devala,Onion,Other,Local,04-04-2025,250,1405,1280
Maharashtra,Nashik,Devala,Onion,Other,Local,08-04-2025,300,1340,1275
Maharashtra,Nashik,Devala,Onion,Other,Local,09-04-2025,500,1355,1250
Maharashtra,Nashik,Devala,Onion,Other,Local,24-04-2025,200,1450,1225
Maharashtra,Nashik,Devala,Onion,Other,Local,03-06-2025,100,1700,1350
Maharashtra,Nashik,Devala,Onion,Other,Local,08-07-2025,250,1600,1425
Maharashtra,Nashik,Devala,Onion,Other,Local,12-06-2025,200,2000,1600
Maharashtra,Nashik,Devala,Onion,Other,Local,16-07-2025,250,1650,1375
Maharashtra,Nashik,Devala,Onion,Other,Local,04-07-2025,100,1600,1350
Maharashtra,Nashik,Devala,Onion,Other,Local,09-06-2025,200,1755,1575
Maharashtra,Nashik,Devala,Onion,Other,Local,14-07-2025,300,1575,1450
Maharashtra,Nashik,Devala,Onion,Other,Local,16-06-2025,200,1710,1550
Maharashtra,Nashik,Devala,Onion,Other,Local,23-06-2025,250,1775,1575
Maharashtra,Nashik,Dindori,Onion,Other,Local,26-04-2025,400,1267,1050
Maharashtra,Nashik,Dindori,Onion,Other,Local,09-05-2025,850,1400,1150
Maharashtra,Nashik,Dindori,Onion,Other,Local,16-05-2025,750,1771,1200
Maharashtra,Nashik,Dindori,Onion,Other,Local,17-05-2025,700,1371,1100
Maharashtra,Nashik,Dindori,Onion,Other,Local,21-05-2025,700,1500,1150
